ProcessorNumber,url,ProductCollection,CodeName,VerticalSegment,Status,LaunchDate,Lithography,TotalCores,TotalThreads,MaxTurboFrequency,Cache,BusSpeed,EmbeddedOptionsAvailable,Datasheet,MaxMemorySizedependentonmemorytype,MemoryTypes,MaxofMemoryChannels,ECCMemorySupported,ProcessorGraphics,GraphicsMaxDynamicFrequency,MaxResolutionHDMI,MaxResolutionDP,MaxResolutioneDPIntegratedFlatPanel,DirectXSupport,OpenGLSupport,IntelQuickSyncVideo,ofDisplaysSupported,DeviceID,PCIExpressRevision,PCIExpressConfigurations,MaxofPCIExpressLanes,SocketsSupported,MaxCPUConfiguration,TJUNCTION,PackageSize,IntelTurboBoostTechnology,IntelHyperThreadingTechnology,Intel64,InstructionSet,InstructionSetExtensions,IdleStates,EnhancedIntelSpeedStepTechnology,ThermalMonitoringTechnologies,IntelvProPlatformEligibility,IntelAESNewInstructions,SecureKey,IntelSoftwareGuardExtensionsIntelSGX,IntelTrustedExecutionTechnology,ExecuteDisableBit,IntelOSGuard,IntelStableITPlatformProgramSIPP,IntelVirtualizationTechnologyVTx,IntelVirtualizationTechnologyforDirectedIOVTd,IntelVTxwithExtendedPageTablesEPT,RecommendedCustomerPrice,IntelBootGuard
G4560,https://ark.intel.com/products/97143/intel-pentium-processor-g4560-3m-cache-3-50-ghz.html,Intel® Pentium® Processor G Series,Products formerly Kaby Lake,Desktop,Discontinued,Q1'17,14 nm,2,4,,3 MB,8 GT/s,No,View now,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,Yes,Intel® HD Graphics 610,1.05 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.4,Yes,3,0x5902,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,No,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,Yes
i5-1140G7,https://ark.intel.com/content/www/us/en/ark/products/208659/intel-core-i51140g7-processor-8m-cache-up-to-4-20-ghz-with-ipu.html,11th Generation Intel® Core™ i5 Processors,Products formerly Tiger Lake,Mobile,Launched,Q1'21,10 nm SuperFin,4,8,4.20 GHz,8 MB Intel® Smart Cache,2 GT/s,No,View now,32 GB,LPDDR4x-4267,2,No,Intel® Iris® Xe Graphics,1.10 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A40,,,,FCBGA1598,1,100°C,26.5x18.5,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,Yes,Yes,,No,Yes,,Yes,Yes,Yes,Yes,Yes,$309.00,Yes
G4560T,https://ark.intel.com/products/97465/intel-pentium-processor-g4560t-3m-cache-2-90-ghz.html,Intel® Pentium® Processor G Series,Products formerly Kaby Lake,Desktop,Discontinued,Q1'17,14 nm,2,4,,3 MB,8 GT/s,No,View now,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,Yes,Intel® HD Graphics 610,1.05 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.4,Yes,3,0x5902,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,92°C,37.5mm x 37.5mm,No,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,Yes
i7-7660U,https://ark.intel.com/products/97537/intel-core-i7-7660u-processor-4m-cache-up-to-4-00-ghz.html,7th Generation Intel® Core™ i7 Processors,Products formerly Kaby Lake,Mobile,Launched,Q1'17,14 nm,2,4,4.00 GHz,4 MB,4 GT/s,No,View now,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,No,Intel® Iris® Plus Graphics 640,1.10 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5926,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",12,FCBGA1356,1,100°C,42x24x1.3,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$415.00,Yes
W-11155MLE,https://ark.intel.com/content/www/us/en/ark/products/217375/intel-xeon-w11155mle-processor-8m-cache-up-to-3-10-ghz.html,Intel® Xeon® W Processor,Products formerly Tiger Lake,Embedded,Launched,Q3'21,10 nm SuperFin,4,8,3.10 GHz,8 MB Intel® Smart Cache,,Yes,,128 GB,DDR4-3200,2,Yes,Intel® UHD Graphics for 11th Gen Intel® Processors,1.25 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A68,,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCBGA1787,1,100°C,50 x 26.5,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",,,Yes,No,Yes,,No,No,,Yes,,Yes,Yes,Yes,$242.00,Yes
N3350,https://ark.intel.com/products/95598/intel-celeron-processor-n3350-2m-cache-up-to-2-4-ghz.html,Intel® Celeron® Processor N Series,Products formerly Apollo Lake,Mobile,Launched,Q3'16,14 nm,2,2,,2 MB L2 Cache,,Yes,View now,8 GB,DDR3L/LPDDR3 up to 1866 MT/s;,2,No,Intel® HD Graphics 500,,,,,Yes,Yes,Yes,3,0x5A85,2.0,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,FCBGA1296,1,105°C,24mm x 31mm,No,No,Yes,64-bit,,Yes,Yes,Yes,No,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,$24.00,
i7-12700KF,https://ark.intel.com/content/www/us/en/ark/products/134595/intel-core-i712700kf-processor-25m-cache-up-to-5-00-ghz.html,12th Generation Intel® Core™ i7 Processors,Products formerly Alder Lake,Desktop,Launched,Q4'21,Intel 7,12,20,5.00 GHz,25 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,,,,,,,,,,,,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$384.00 - $394.00,Yes
i3-10300,https://ark.intel.com/content/www/us/en/ark/products/199281/intel-core-i3-10300-processor-8m-cache-up-to-4-40-ghz.html,10th Generation Intel® Core™ i3 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,4,8,4.40 GHz,8 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.15 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$143.00 - $152.00,Yes
i7-8700B,https://ark.intel.com/products/134905/intel-core-i7-8700b-processor-12m-cache-up-to-4-60-ghz.html,8th Generation Intel® Core™ i7 Processors,Products formerly Coffee Lake,Mobile,Launched,Q2'18,14 nm,6,12,4.60 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2304@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E9B,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,No,Yes,Yes,Yes,$303.00,No
i7-11700,https://ark.intel.com/content/www/us/en/ark/products/212279/intel-core-i7-11700-processor-16m-cache-up-to-4-90-ghz.html,11th Generation Intel® Core™ i7 Processors,Products formerly Rocket Lake,Desktop,Launched,Q1'21,14 nm,8,16,4.90 GHz,16 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-3200,2,No,Intel® UHD Graphics 750,1.30 GHz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,12.1,4.5,Yes,3,0x4C8A,4.0,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCLGA1200,1,100°C,37.5 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$323.00 - $333.00,Yes
i5-10500,https://ark.intel.com/content/www/us/en/ark/products/199277/intel-core-i5-10500-processor-12m-cache-up-to-4-50-ghz.html,10th Generation Intel® Core™ i5 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,6,12,4.50 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.15 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$192.00 - $202.00,Yes
i5-10600T,https://ark.intel.com/content/www/us/en/ark/products/199279/intel-core-i5-10600t-processor-12m-cache-up-to-4-00-ghz.html,10th Generation Intel® Core™ i5 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,6,12,4.00 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$213.00,Yes
i5-7500T,https://ark.intel.com/products/97121/intel-core-i5-7500t-processor-6m-cache-up-to-3-30-ghz.html,7th Generation Intel® Core™ i5 Processors,Products formerly Kaby Lake,Desktop,Launched,Q1'17,14 nm,4,4,3.30 GHz,6 MB Intel® Smart Cache,8 GT/s,Yes,View now,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,No,Intel® HD Graphics 630,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5912,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,80°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$192.00,Yes
i5-10400F,https://ark.intel.com/content/www/us/en/ark/products/199278/intel-core-i5-10400f-processor-12m-cache-up-to-4-30-ghz.html,10th Generation Intel® Core™ i5 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,6,12,4.30 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,,,,,,,,,,,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$157.00,Yes
i5-11320H,https://ark.intel.com/content/www/us/en/ark/products/217183/intel-core-i511320h-processor-8m-cache-up-to-4-50-ghz-with-ipu.html,11th Generation Intel® Core™ i5 Processors,Products formerly Tiger Lake,Mobile,Launched,Q2'21,10 nm SuperFin,4,8,4.50 GHz,8 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4x-4267",2,No,Intel® Iris® Xe Graphics eligible,1.35 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100°C,45.5mm x 25mm,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$309.00,Yes
i5-11400T,https://ark.intel.com/content/www/us/en/ark/products/212273/intel-core-i5-11400t-processor-12m-cache-up-to-3-70-ghz.html,11th Generation Intel® Core™ i5 Processors,Products formerly Rocket Lake,Desktop,Launched,Q1'21,14 nm,6,12,3.70 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-3200,2,No,Intel® UHD Graphics 730,1.20 GHz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,12.1,4.5,Yes,3,0x4C8B,4.0,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCLGA1200,1,100°C,37.5 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,$182.00,Yes
i3-7130U,https://ark.intel.com/products/124977/intel-core-i3-7130u-processor-3m-cache-2-70-ghz.html,7th Generation Intel® Core™ i3 Processors,Products formerly Kaby Lake,Mobile,Launched,Q2'17,14 nm,2,4,,3 MB Intel® Smart Cache,4 GT/s,,View now,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,No,Intel® HD Graphics 620,1.00 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5916,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",12,FCBGA1356,1,100°C,42mm X 24mm,No,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$281.00,Yes
i3-11100HE,https://ark.intel.com/content/www/us/en/ark/products/217371/intel-core-i311100he-processor-8m-cache-up-to-4-40-ghz.html,11th Generation Intel® Core™ i3 Processors,Products formerly Tiger Lake,Embedded,Launched,Q3'21,10 nm SuperFin,4,8,4.40 GHz,8 MB Intel® Smart Cache,,Yes,,128 GB,DDR4-3200,2,No,Intel® UHD Graphics for 11th Gen Intel® Processors,1.25 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A68,,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCBGA1787,1,100°C,50 x 26.5,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",,,Yes,No,Yes,,No,No,,Yes,,Yes,Yes,Yes,$233.00,Yes
W-11155MRE,https://ark.intel.com/content/www/us/en/ark/products/217378/intel-xeon-w11155mre-processor-8m-cache-up-to-4-40-ghz.html,Intel® Xeon® W Processor,Products formerly Tiger Lake,Embedded,Launched,Q3'21,10 nm SuperFin,4,8,4.40 GHz,8 MB Intel® Smart Cache,,Yes,,128 GB,DDR4-3200,2,Yes,Intel® UHD Graphics for 11th Gen Intel® Processors,1.25 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A68,,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCBGA1787,1,100°C,50 x 26.5,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",,,Yes,No,Yes,,No,No,,Yes,,Yes,Yes,Yes,$249.00,Yes
i3-9100TE,https://ark.intel.com/content/www/us/en/ark/products/194376/intel-core-i3-9100te-processor-6m-cache-up-to-3-20-ghz.html,9th Generation Intel® Core™ i3 Processors,Products formerly Coffee Lake,Embedded,Launched,Q2'19,14 nm,4,4,3.20 GHz,6 MB,8 GT/s,Yes,,64 GB,DDR4-2400,2,Yes,Intel® UHD Graphics 630,1.05 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E98,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$122.00,Yes
6305E,https://ark.intel.com/content/www/us/en/ark/products/208072/intel-celeron-6305e-processor-4m-cache-1-80-ghz.html,Intel® Celeron® Processor 6000 Series,Products formerly Tiger Lake,Embedded,Launched,Q4'20,10 nm SuperFin,2,2,,4 MB Intel® Smart Cache,4 GT/s,Yes,,64 GB,"DDR4-3200, LPDDR4x-3733",2,No,Intel® UHD Graphics,1.25 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A78,,,,FCBGA1449,1,100C,46.5x25,No,No,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$107.00,Yes
N3450,https://ark.intel.com/products/95596/intel-celeron-processor-n3450-2m-cache-up-to-2-2-ghz.html,Intel® Celeron® Processor N Series,Products formerly Apollo Lake,Mobile,Launched,Q3'16,14 nm,4,4,,2 MB L2 Cache,,No,View now,8 GB,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s,2,No,Intel® HD Graphics 500,,,,,Yes,Yes,Yes,3,0x5A85,2.0,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,FCBGA1296,1,105°C,24mm x 31mm,No,No,Yes,64-bit,,Yes,Yes,Yes,No,Yes,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,$107.00,
i7-12700K,https://ark.intel.com/content/www/us/en/ark/products/134594/intel-core-i712700k-processor-25m-cache-up-to-5-00-ghz.html,12th Generation Intel® Core™ i7 Processors,Products formerly Alder Lake,Desktop,Launched,Q4'21,Intel 7,12,20,5.00 GHz,25 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,Yes,Intel® UHD Graphics 770,1.50 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4680,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$409.00 - $419.00,Yes
i5-12600,https://ark.intel.com/content/www/us/en/ark/products/96149/intel-core-i512600-processor-18m-cache-up-to-4-80-ghz.html,12th Generation Intel® Core™ i5 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,6,12,4.80 GHz,18 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,Yes,Intel® UHD Graphics 770,1.45 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4690,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$223.00 - $233.00,Yes
i3-12100T,https://ark.intel.com/content/www/us/en/ark/products/223097/intel-core-i312100t-processor-12m-cache-up-to-4-10-ghz.html,12th Generation Intel® Core™ i3 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,4,8,4.10 GHz,12 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,,Intel® UHD Graphics 730,1.40 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4692,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$122.00,Yes
i9-12900T,https://ark.intel.com/content/www/us/en/ark/products/134601/intel-core-i912900t-processor-30m-cache-up-to-4-90-ghz.html,12th Generation Intel® Core™ i9 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,16,24,4.90 GHz,30 MB Intel® Smart Cache,,No,View now,128 GB,Up to DDR5 4800 MT/s,2,Yes,Intel® UHD Graphics 770,1.55 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4680,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$489.00,Yes
i7-7740X,https://ark.intel.com/products/121499/intel-core-i7-7740x-x-series-processor-8m-cache-up-to-4-50-ghz.html,Intel® Core™ X-series Processors,Products formerly Kaby Lake,Desktop,Discontinued,Q2'17,14 nm,4,8,4.50 GHz,8 MB,8 GT/s,No,View now,64 GB,DDR4-2666,2,No,,,,,,,,,,,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA2066,1,100°C,,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",,,,,Yes,,,,,,,Yes,Yes,,$339.00,
i3-9320,https://ark.intel.com/content/www/us/en/ark/products/191793/intel-core-i3-9320-processor-8m-cache-up-to-4-40-ghz.html,9th Generation Intel® Core™ i3 Processors,Products formerly Coffee Lake,Desktop,Launched,Q2'19,14 nm,4,4,4.40 GHz,8 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,DDR4-2400,2,Yes,Intel® UHD Graphics 630,1.15 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E91,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$154.00 - $162.00,Yes
i5-10500H,https://ark.intel.com/content/www/us/en/ark/products/201905/intel-core-i5-10500h-processor-12m-cache-up-to-4-50-ghz.html,10th Generation Intel® Core™ i5 Processors,Products formerly Comet Lake,Mobile,Launched,Q4'20,14 nm,6,12,4.50 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2933,2,No,Intel® UHD Graphics for 10th Gen Intel® Processors,1.05 GHz,4096 x 2304@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC4,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$250.00,Yes
i9-9900,https://ark.intel.com/content/www/us/en/ark/products/191789/intel-core-i9-9900-processor-16m-cache-up-to-5-00-ghz.html,9th Generation Intel® Core™ i9 Processors,Products formerly Coffee Lake,Desktop,Launched,Q2'19,14 nm,8,16,5.00 GHz,16 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E98,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$439.00 - $449.00,Yes
i5-8257U,https://ark.intel.com/content/www/us/en/ark/products/191067/intel-core-i5-8257u-processor-6m-cache-up-to-3-90-ghz.html,8th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Mobile,Launched,Q3'19,14 nm,4,8,3.90 GHz,6 MB Intel® Smart Cache,4 GT/s,No,View now,32 GB,"DDR4-2400, LPDDR3-2133",2,No,Intel® Iris® Plus Graphics 645,1.05 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3EA6,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",16,FCBGA1528,1,100°C,46x24,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$320.00,
i7-7700K,https://ark.intel.com/products/97129/intel-core-i7-7700k-processor-8m-cache-up-to-4-50-ghz.html,7th Generation Intel® Core™ i7 Processors,Products formerly Kaby Lake,Desktop,Discontinued,Q1'17,14 nm,4,8,4.50 GHz,8 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,No,Intel® HD Graphics 630,1.15 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5912,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,,Yes,Yes,No,Yes,Yes,Yes,,Yes
